Point;Valeur
4.4963800300660886 3.6504448705649786;-0.471982161290
4.492957735360564 3.6476664360962947;-0.4758638249930
4.489543549628203 3.64489458510974;-0.4797270772318
4.486137519763234 3.6421293556767713;-0.483571856262
4.482739691918947 3.639370785267155;-0.48739810276818
4.479350111507907 3.636618910749368;-0.4912057598504
4.4759688232023835 3.633873768390861;-0.4949947730132
4.472595870934962 3.6311353938585564;-0.4987650901504
4.46923129789929 3.6284038222194646;-0.5025166615316
4.465875146550835 3.625679087941289;-0.5062494397870
4.462527458607857 3.622961224893209;-0.5099633798930
4.459188275052634 3.6202502663469054;-0.513658439155
4.455857636132483 3.6175462449772793;-0.5173345771959
4.4525355813611895 3.6148491928638142;-0.5209917559316
4.449222149520427 3.6121591414916248;-0.5246299395621
4.445917378661379 3.609476121752728;-0.5282490945500
4.442621306106337 3.6068001639472964;-0.5318491896040
4.439333968450548 3.604131297785387;-0.5354301956607
4.436055401564109 3.601469552388223;-0.5389920858664
4.432785640594021 3.598814956290017;-0.5425348355578
4.429524719966293 3.59616753743959;-0.5460584222436
4.426272673388075 3.593527323202253;-0.5495628255846
4.423029533850191 3.5908943403616247;-0.5530480273740
4.419795333629372 3.588268615121656;-0.5565140115178
4.416570104290939 3.58565017310872;-0.5599607640138
4.413353876691366 3.583039039373695;-0.5633882729315
4.410146680981034 3.5804352383942275;-0.566796528390
4.40694854660709 3.5778387940769787;-0.5701855225411
4.403759502316326 3.575249729759974;-0.5735552495401
4.400579576158139 3.572668068215187;-0.5769057055315
4.397408795487742 3.57009383165098;-0.580236888623
4.394247186969305 3.5675270417145377;-0.5835487988679
4.3910947765791715 3.5649677194948293;-0.5868414382349
4.387951589609249 3.5624158855249743;-0.5901148105936
4.384817650670467 3.5598715597853903;-0.593368921687
4.381692983696242 3.557334761706279;-0.5966037791141
4.378577611946108 3.5548055101708687;-0.5998193922977
4.3754715580092896 3.552283823518134;-0.6030157724703
4.372374843808594 3.5497697195460276;-0.6061929326466
4.369287490604038 3.54726321551442;-0.6093508876009
4.366209518996853 3.5447643281482835;-0.6124896538434
4.363140948933395 3.5422730736409527;-0.6156092495971
4.360081799709091 3.539789467657325;-0.6187096947733
4.357032089972556 3.5373135253371015;-0.6217910109489
4.3539918377297475 3.534845261298322;-0.6248532213416
4.35096106034809 3.5323846896405633;-0.6278963507864
4.347939774560787 3.5299318239484867;-0.6309204257117
4.344927996471064 3.527486677295346;-0.6339254741151
4.3419257415565395 3.525049262246501;-0.6369115255395
4.338933024673713 3.522619590862954;-0.6398786110487
4.335949860062254 3.5201976747050407;-0.6428267632039
4.332976261349662 3.5177835248360063;-0.6457560160388
4.330012241555763 3.5153771518257844;-0.6486664050363
4.327057813097222 3.5129785657546835;-0.6515579671037
4.324112987792371 3.5105877762171183;-0.654430740549
4.321177776865707 3.5082047923254938;-0.6572847650568
4.318252190952664 3.5058296227139314;-0.6601200816639
4.3153362401043935 3.50346227554227;-0.662936732735
4.312429933792604 3.5011027584997874;-0.665734761942
4.30953328091425 3.4987510788092053;-0.6685142142343
4.3066462897964435 3.4964072432306663;-0.6712751358187
4.303768968201419 3.4940712580656523;-0.6740175741358
4.300901323331422 3.4917431291609917;-0.676741577835
4.2980433618335345 3.48942286191284;-0.6794471967513
4.2951950898047855 3.4871104612707606;-0.6821344818819
4.292356512797094 3.484805931741737;-0.684803485362
4.28952763582223 3.4825092773943367;-0.6874542604437
4.286708463356956 3.4802205018626586;-0.6900868614689
4.283898999348072 3.4779396083505567;-0.6927013438495
4.281099247217316 3.4756665996356695;-0.6952977640433
4.278309209866724 3.4734014780736744;-0.6978761795308
4.275528889683575 3.4711442456022934;-0.7004366487926
4.272758288545479 3.468894903745557;-0.7029792312869
4.269997407825685 3.466653453617919;-0.7055039874269
4.267246248397935 3.4644198959284287;-0.7080109785583
4.264504810641953 3.4621942309849505;-0.7105002669374
4.261773094448398 3.459976458698367;-0.7129719157085
4.259051099224073 3.457766578586664;-0.7154259888827
4.256338823897085 3.4555645897792817;-0.7178625513155
4.2536362669221255 3.4533704910212304;-0.7202816686855
4.250943426285467 3.451184280677273;-0.7226834074730
4.248260299510323 3.449005956736224;-0.7250678349386
4.245586883661925 3.44683551681509;-0.7274350191022
4.2429231753527725 3.4446729581632707;-0.729785028722
4.240269170747776 3.4425182776668795;-0.7321179332742
4.23762486556942 3.4403714718527723;-0.7344338029315
4.234990255102952 3.4382325368928335;-0.736732708543
4.232365334201601 3.436101468608206;-0.7390147216177
4.229750097291665 3.433978262473454;-0.7412799142958
4.227144538377761 3.431862913620777;-0.7435283593382
4.22454865104779 3.4297554168440616;-0.7457601301017
4.221962428478356 3.4276557666032783;-0.7479753005213
4.219385863439592 3.4255639570284004;-0.7501739450905
4.2168189483005625 3.4234799819237898;-0.7523561388426
4.214261675034089 3.4214038347721205;-0.7545219573316
4.2117140352221 3.419335508738693;-0.7566714766140
4.209176020060531 3.417274996675442;-0.7588047732302
4.206647620364459 3.4152222911251107;-0.7609219241864
4.204128826573191 3.4131773843253965;-0.7630230069368
4.2016196287551955 3.4111402682128444;-0.7651080993655
4.199120016613125 3.409110934427103;-0.7671772797694
4.196629979488955 3.4070893743149444;-0.7692306268407
4.194149506368797 3.4050755789342544;-0.7712682196497
4.191678585887951 3.403069539058053;-0.7732901376282
4.18921720633578 3.401071245178574;-0.7752964605527
4.186765355660658 3.3990806875112263;-0.7772872685278
4.184323021474898 3.397097855998545;-0.7792626419703
4.181890191059537 3.3951227403140956;-0.7812226615930
4.179466851369321 3.3931553298665835;-0.7831674083890
4.177052989037403 3.3911956138035952;-0.7850969636158
4.174648590380206 3.3892435810155845;-0.7870114087807
4.172253641402166 3.387299220139785;-0.7889108256248
4.1698681278005445 3.3853625195639188;-0.7907952961087
4.16749203497007 3.3834334674301934;-0.7926649023977
4.165125348007679 3.3815120516390094;-0.7945197268471
4.16276805171724 3.3795982598528527;-0.796359851988
4.160420130614099 3.377692079499952;-0.7981853605137
4.158081568929821 3.37579349777817;-0.7999963352651
4.155752350616591 3.3739025016585398;-0.8017928592179
4.153432459351995 3.372019077889151;-0.80357501546
4.151121878543394 3.3701432129987516;-0.8053428872213
4.148820591332473 3.3682748933003457;-0.8070965577759
4.146528580599799 3.3664141048949343;-0.808836110513
4.144245828969044 3.364560833675003;-0.8105616288859
4.141972318811609 3.362715065328205;-0.8122731964010
4.139708032250905 3.360876785340901;-0.8139708966128
4.137452951166731 3.359045979001631;-0.8156548131082
4.135207057199552 3.3572226314046345;-0.8173250294961
4.13297033175487 3.3554067274533876;-0.8189816293953
4.130742756007393 3.3535982518640277;-0.8206246964234
4.1285243109052345 3.3517971891686997;-0.8222543141862
4.126314977174172 3.35000352371906;-0.8238705662661
4.124114735321792 3.348217239689607;-0.8254735362121
4.121923565641627 3.3464383210810817;-0.8270633075287
4.119741448217122 3.344666751723631;-0.828639963666
4.11756836292581 3.342902515280251;-0.8302035880107
4.115404289443313 3.3411455952500297;-0.8317542638734
4.113249207247309 3.339395974971345;-0.8332920744818
4.111103095621453 3.337653637625045;-0.8348171029700
4.108965933659368 3.3359185662377184;-0.836329432369
4.106837700268488 3.3341907436847635;-0.8378291455991
4.104718374173864 3.3324701526935248;-0.8393163254581
4.102607933922085 3.330756775846479;-0.840791054615
4.10050635788493 3.3290505955841394;-0.8422534156029
4.098413624263246 3.3273515942083183;-0.8437034908051
4.096329711090522 3.325659753884909;-0.8451413624525
4.0942545962367 3.3239750566470008;-0.8465671126134
4.0921882574116815 3.3222974843978026;-0.8479808231856
4.090130672169005 3.3206270189135756;-0.8493825758891
4.08808181790946 3.3189636418465573;-0.8507724522586
4.0860416718845425 3.3173073347277713;-0.852150533636
4.084010211199955 3.315658078969886;-0.8535169011642
4.081987412819142 3.3140158558700903;-0.854871635778
4.079973253566658 3.312380646612801;-0.8562148182019
4.077967710131601 3.31075243227248;-0.8575465289364
4.0759707590709215 3.309131193816312;-0.8588668482583
4.073982376812855 3.3075169121069123;-0.8601758562109
4.0720025396600334 3.3059095679050143;-0.8614736325989
4.070031223792934 3.3043091418721318;-0.8627602569822
4.068068405272971 3.3027156145731276;-0.8640358086702
4.066114060045715 3.3011289664788235;-0.8653003667160
4.064168163944046 3.2995491779685704;-0.8665540099112
4.062230692691285 3.2979762293327286;-0.8677968167804
4.060301621904281 3.2964101007752222;-0.8690288655759
4.058380927096437 3.2948507724160425;-0.8702502342728
4.056468583680692 3.293298224293607;-0.8714610005641
4.054564566972571 3.291752436367191;-0.8726612418560
4.052668852193111 3.2902133885193985;-0.8738510352632
4.0507814144716905 3.288681060558447;-0.8750304576042
4.048902228849036 3.287155432220552;-0.8761995853976
4.04703127027998 3.2856364831721674;-0.8773584948571
4.045168513636247 3.284124193012362;-0.8785072618880
4.043313933709345 3.2826185412750184;-0.8796459620832
4.041467505213179 3.2811195074310193;-0.880774670719
4.039629202786902 3.279627070890535;-0.8818934627521
4.03779900099742 3.2781412110051376;-0.8830024128152
4.035976874342138 3.2766619070699674;-0.8841015952143
4.034162797251582 3.2751891383258576;-0.885191083925
4.032356744091957 3.273722883961428;-0.8862709525894
4.030558689167678 3.272263123115105;-0.8873412745130
4.0287686067238795 3.270809834877231;-0.8884021226619
4.026986470948944 3.26936299829202;-0.8894535696598
4.0252122559768715 3.2679225923596187;-0.8904956877852
4.023445935889789 3.2664885960379872;-0.8915285489690
4.021687484720269 3.2650609882448953;-0.8925522247919
4.019936876453765 3.2636397478598322;-0.8935667864819
4.018194085030789 3.262224853725849;-0.8945723049120
4.016459084349398 3.2608162846514697;-0.8955688505982
4.014731848267292 3.2594140194124943;-0.8965564936973
4.013012350604143 3.258018036753847;-0.8975353040048
4.011300565143759 3.2566283153913202;-0.8985053509531
4.009596465636232 3.255244834013345;-0.8994667036099
4.007900025800158 3.253867571282811;-0.9004194306760
4.006211219324683 3.2524965058386384;-0.9013636004841
4.004530019871626 3.2511316162976103;-0.90229928099
4.002856401077502 3.2497728812559483;-0.9032265398071
4.001190336555559 3.248420279291005;-0.9041454441330
3.999531799897775 3.247073788962869;-0.9050560608205
3.9978807646768297 3.245733388815926;-0.9059584563401
3.9962372044480485 3.244399057380494;-0.9068526967864
3.9946010927512976 3.243070773174341;-0.907738847876
3.9929724031128866 3.2417485147042253;-0.9086169749508
3.991351109047402 3.240432260467415;-0.9094871429691
3.989737184059549 3.2391219889531273;-0.9103494165128
3.9881306016459774 3.237817678644036;-0.9112038597827
3.986531335297032 3.236519308017729;-0.9120505365987
3.984939358498456 3.235226855548037;-0.9128895103993
3.983354644733171 3.2339402997065134;-0.9137208442408
3.981777167483007 3.232659618963792;-0.9145446007974
3.980206900230275 3.231384791790961;-0.9153608423604
3.978643816459475 3.2301157966608396;-0.9161696308384
3.9770878896588635 3.228852612049329;-0.9169710277565
3.975539093322138 3.2275952164366926;-0.9177650942566
3.9739974009498735 3.226343588308846;-0.9185518910971
3.972462786051211 3.225097706158599;-0.9193314786531
3.9709352221452603 3.223857548486932;-0.9201039169160
3.9694146827626446 3.2226230938040907;-0.920869265494
3.9679011414469274 3.221394320630901;-0.921627583612
3.9663945717561484 3.2201712074998907;-0.9223789301134
3.96489494726413 3.2189537329564217;-0.9231233634558
3.963402241561997 3.217741875559895;-0.923860941716
3.961916428259393 3.216535613884771;-0.9245917225911
3.9604374809860117 3.21533492652177;-0.9253157633921
3.9589653733928136 3.214139792078865;-0.9260331210519
3.957500079153353 3.212950189182414;-0.9267438521218
3.956041571965068 3.211766096478132;-0.9274480127731
3.95458982555053 3.210587492632163;-0.9281456587976
3.9531448136587537 3.209414356332093;-0.9288368456083
3.9517065100663045 3.2082466662879026;-0.9295216282399
3.9502748885785914 3.2070844012329642;-0.9302000613498
3.9488499230309717 3.205927539925004;-0.9308721992186
3.9474315872899504 3.2047760611470095;-0.931538095751
3.9460198552543284 3.2036299437081937;-0.9321978044778
3.9446147008562797 3.2024891664448405;-0.9328513785538
3.9432160980624458 3.2013537082212737;-0.9334988707619
3.941824020875017 3.200223547930644;-0.9341403335128
3.940438443332849 3.199098664495872;-0.9347758188455
3.9390593395123563 3.197979036870382;-0.935405378429
3.9376866835286894 3.196864644039029;-0.9360290635643
