Point;Valeur
-5.899449674045412;0.8090097161403
-5.58464819743036;0.3418135147585
-5.341776795989589;0.11681137827690
-5.18753913680186;0.035170927832386
-5.1002405011773915;0.010048158076294
-5.053130092122907;0.0028228066889885
-5.028099868556655;0.0007896026129012
-5.014862019541688;0.0002208796248575
-5.0078700313165845;6.193739292402046e
-5.004178359999143;1.745869228243792e
-5.00222941306166;4.970282599501311e
-5.001200534229373;1.4412824358952801e
-5.000657377887975;4.321456875979422e
-5.000370640407896;1.3737431196516936e
-5.000219269021286;4.8078903695572023e
-5.0001393586710705;1.9420839202538826e
PointOptimal;ValeurOptimale
[-5.00013936];1.9420839202538826e-08
Temps;Nb iteration
0.0009970664978027344;15
