Point;Valeur
-0.06832211657724319 -4.624255240367635;21.708988394993
0.005849331295235641 -4.475256396213743;20.001810982683
0.14742529335653903 -4.182096240193421;16.916356347544
0.335724298098063 -3.7647156237661488;13.121498555668
0.5529355511347834 -3.2468355877538198;9.264739789950
0.7898180674375417 -2.6547276334113046;5.8303115031134
1.0471721518275106 -2.0161936619960867;3.1040504767240
1.330670074132351 -1.3597348438832944;1.214078000782
1.6276290088671659 -0.7137297141235002;0.3757465505907
1.8532360017983227 -0.10495056272464609;1.0520324450602
1.909747243114822 0.4449296869938084;2.460713140434
1.8585550785007512 0.921725844697394;3.8119666599838
1.7548558454087337 1.315169375876655;5.106436240170
1.6236835286267413 1.6182485830876225;6.275015825245
1.4713185594278335 1.8273832059481208;7.127757959394
1.2924107369026587 1.9426015548431053;7.47220208196
1.0744017467198654 1.9676650115282266;7.151682066629
0.8038054824997702 1.910108231461149;6.08270611756
0.47847330437092384 1.7810594421794916;4.429202763417
0.11822460881766478 1.5945476268708287;2.7588463490745
-0.2467977814491238 1.3661898114869244;1.6472625176034
-0.6004820122870589 1.1119032221139524;1.1611039330907
-0.9483777117291148 0.8473127037084114;0.9850675794427
-1.3073533841015617 0.5876910613452688;0.7602309105216
-1.6671576217206179 0.34793256381781384;0.5669887540266
-1.902478218351127 0.14143319004757973;1.1370834572411
-1.9295602440660686 -0.024362796227329397;1.540645411660
-1.8675779946050537 -0.1486754814995471;1.573785731358
-1.772756301726551 -0.23168060415973668;1.5525650579414
-1.670598943109322 -0.2745634796677018;1.560402115792
-1.5715931067520026 -0.27951659530209505;1.563021036623
-1.4789841135251016 -0.24969431126981517;1.5268366454206
-1.3925956289944306 -0.18912927497478765;1.4443979798586
-1.3106657211761323 -0.10261664253781808;1.3270663062364
-1.2306873935943177 0.004426372730153505;1.194143969700
-1.1497636708909191 0.12611729979542197;1.0649010767948
-1.0647637305419022 0.2562733712117655;0.9535245261287
-0.9724767110076025 0.38857798258600107;0.8664131751169
-0.8699350320364623 0.5167454993928368;0.801940648745
-0.7550514788345126 0.6346872279113641;0.7534260253399
-0.6275837445298712 0.7366889610642717;0.7153992881585
-0.49012174357187444 0.8176154488374582;0.6899222925945
-0.3484276585890904 0.8731508069254315;0.6857889931115
-0.21054713038640976 0.9000599842331013;0.707214220750
-0.08492471970625862 0.896425689026208;0.7418201773857
0.02146518781480053 0.8618050350945742;0.7621280111353
0.10414301544728795 0.7972726495640884;0.740242291357
0.1612527426684165 0.7053506226065052;0.6625571138327
0.19320865533700957 0.5898456043861817;0.5350857790980
0.20223900923241858 0.45561684065941316;0.3797863376696
0.1919840493349443 0.3082956066632977;0.2265316875884
0.16713542034668438 0.1539736672310025;0.10449513585213
0.13304578268761627 -0.0011218281647555062;0.03492629059165
0.09526982355766007 -0.15094821905310848;0.02647085888775
0.05906720226694791 -0.2899423777735004;0.07390559190451
0.02894437249623169 -0.41327291008931877;0.16050738969458
0.008306292746030921 -0.5170357143224638;0.26316926388179
-0.0007509977972847241 -0.5983847043087749;0.35851476794061
0.002488326815613239 -0.6555949871329997;0.42818583606768
0.01740856636011551 -0.6880604386339503;0.4620550413410
0.04221934035670568 -0.6962315315982512;0.4589055198668
0.07420889015507935 -0.6815026816228604;0.4248544510771
0.11006806205202008 -0.6460611215646934;0.3703604187716
0.14623950920729445 -0.5927108557444711;0.30692180338477
0.17923937499796233 -0.5246851519889738;0.2444255688840
0.20591352048213887 -0.4454594642401457;0.18963378646249
0.223619678488074 -0.35857438250486073;0.14579805650949
0.23035352627676875 -0.2674760335907785;0.11312333833280
0.2248469673840763 -0.17537978058282985;0.08977458796356
0.20665729311722184 -0.08516201909266288;0.0731655696178
0.17624163908371865 0.0007161422328497147;0.06124091969406
0.13498422880496172 0.08025112642197543;0.05336677674350
0.08513109002738772 0.1519054730576636;0.050446670105013
0.02960292339422202 0.21458663902822997;0.05415167738750
-0.028299434472628893 0.26760329492713747;0.06563954417276
-0.08523505297573661 0.3106084202412281;0.0844775385370
-0.1381274487383428 0.34353826699933143;0.10834380188917
-0.1843739289979778 0.3665540318165369;0.13355953616190
-0.22194435177822258 0.37999005689682225;0.15604650607291
-0.2493931384599204 0.3843098494858181;0.17222191499256
-0.2658262602551695 0.3800698119325229;0.17956352275439
-0.2708619252032841 0.36789025319045704;0.1768422313867
-0.26460833008877876 0.34843356819156457;0.16415229036946
-0.2476623180750126 0.32238991581577114;0.14285284096164
-0.22111476022410115 0.29047087644045105;0.11543896266228
-0.18653664828421604 0.25341115315098134;0.08527431532803
-0.14591893821433147 0.21197733909068028;0.05611313418862
-0.10155163501278856 0.16698133727779138;0.031439521007838
-0.05584986566422649 0.11929469190084968;0.013796835117892
-0.011156299556946511 0.06985945510410504;0.004349880233750
