Point;Valeur
-1.244619400187752 -0.11396269355670441;1.3528978609634
-1.5589613580064026 0.2008387593445592;0.7785215880528
-2.0025519596132173 0.47609290662913983;1.1563725947349
-1.3804942178324642 0.7323073132041684;0.6769249724953
-1.5590582412697842 0.7094034296482693;0.44849178072784
-1.7282597930253933 0.7474645323410474;0.3143437732544
-1.74246913364957 0.8105582174819325;0.30246924579237
-1.7422270534764364 0.8435049069026539;0.299564338725
-1.7472193182742262 0.8585010363092865;0.2988673585413
-1.7456662500518934 0.8666972352780299;0.29869674844968
-1.7480537423825273 0.8700099900065318;0.2986560436735
-1.7467003956064744 0.8721693184270247;0.298644059272
-1.7480640702480574 0.8727849044404536;0.2986415247224
-1.747097953009276 0.8734365538260264;0.2986396569187
-1.7479431777300065 0.8734705331807482;0.298639583919
-1.7472924878872216 0.8737160622083715;0.2986388403722
-1.7478337102759385 0.8736508399621061;0.29863897449769
-1.7474041291088867 0.8737684263314666;0.2986385746053
-1.7477549386155011 0.8737050856008;0.2986387111836
-1.7474733607181714 0.8737717043272729;0.29863847980814
-1.747701765434102 0.8737254221166488;0.298638588096
-1.747517682085428 0.8737664985742488;0.2986384492960
-1.7476666337390492 0.8737351130944769;0.2986385280011
-1.7475464036604589 0.8737613524866972;0.2986384425829
-1.747643598629215 0.8737405854401271;0.2986384973585
PointOptimal;ValeurOptimale
[-1.7476436   0.87374059];0.2986384973585575
Temps;Nb iteration
0.0013227462768554688;24
