Point;Valeur
-2.05756923863063 0.7913282717220005;1.2923611699457
-1.1215747733200414 0.8422454205346803;0.9508443804942
-0.5272485572986194 0.8092503815868012;0.7066296754965
-0.022194262884944305 0.6529758901675504;0.4128701104338
0.262986575734871 0.38679685455381335;0.38469066041264
0.29651884822194235 0.07373035583783988;0.1951416871700
0.1793898956404179 -0.19990696606955977;0.06738114934371
0.03704229196254577 -0.36484719627380713;0.12234098659921
-0.03630691796275129 -0.3959789413756114;0.17381065740
-0.021746321739941524 -0.31676618900492054;0.10817488817657
0.0376887036371741 -0.1813062482235882;0.028877516901948
0.08308306243224223 -0.04672032701305506;0.012056735442867
0.08032936407440552 0.048875829929982184;0.01917694868405
0.03347673011010757 0.09415065102705843;0.014256265428448
-0.027195085123236387 0.0988191806920718;0.008556405502966
-0.06854541337228524 0.08128554028341405;0.010409373337176
-0.07418754589380891 0.057511126959210276;0.010016725759176
-0.049188439486722677 0.03585122883994052;0.004354705435551
-0.012119118202964449 0.01790873003876739;0.0003974079976894
0.017570439835772275 0.0024276406704474736;0.0006658887968455
0.029490676268640676 -0.011172740960298192;0.0015339443401025
0.024807192694088043 -0.02159052219391191;0.0011609464128472
0.012035673085457962 -0.026663976932039285;0.0006797415772089
0.0004389390710732074 -0.02519501044847486;0.0006241148119940
-0.004855182404461421 -0.01808343296073924;0.00046195392207160
-0.004015310581151328 -0.008105727246071892;0.00013049499175452
-0.0005026220981328533 0.0013441097988519182;1.6363097442003433e
0.00201667066879876 0.00768960267239585;8.277128922907553e
0.0018360326116166256 0.010003296303092107;0.0001251743347335
-0.00043137728989025323 0.008948195261638496;7.658232291514179e
-0.002926399364211813 0.006065637817106345;3.6169032948772724e
-0.0040117469602177925 0.0029097701435492032;2.8981456134782867e
-0.0031942669326282293 0.00046475611850621676;1.913801630896825e
-0.001143527348837102 -0.0009850986401837899;4.712214366862428e
0.0009478638082988963 -0.001633772421262514;2.9175093259671806e
0.002126292216796794 -0.0018176916556231113;8.481275054931658e
0.002112103595666991 -0.0017747099253870601;8.323166406890434e
PointOptimal;ValeurOptimale
[ 0.0021121  -0.00177471];8.323166406890434e-06
Temps;Nb iteration
0.002497434616088867;36
