Point;Valeur
-2.204186734985274 3.9820246111511732;11.125068593354
0.19781326492967066 1.5800246115131689;2.8856900394280
-0.26613787338958544 0.3702682483534794;0.17500649034207
-0.14406478093143768 0.199754270702285;0.052182731901469
-0.07203235291803442 0.10799009769599804;0.014232155086223
-0.03672007073293177 0.05627540444691508;0.0037953029230824
-0.018864384669073662 0.029017224702205413;0.0010062042941037
-0.00971619322211909 0.014920008296141332;0.00026644042787292
-0.005016441725821842 0.007660068331726053;7.057907070000759e
-0.0026003104666204144 0.003925358629441073;1.872447028063349e
-0.0013579541676577889 0.0020046746907242045;4.984539736976679e
-0.0007191129553552446 0.001016981538668865;1.3371734545114444e
-0.0003906054749320803 0.0005090800425762027;3.6545828759196954e
-0.00022167847232845396 0.0002479032104197291;1.0478388441738255e
-0.00013481178126103637 0.00011359913085246182;3.393869373723859e
-9.0142641992738e-05 4.453642310941202e-05;1.4220253880925322e
PointOptimal;ValeurOptimale
[-9.01426420e-05  4.45364231e-05];1.4220253880925322e-08
Temps;Nb iteration
0.0006430149078369141;15
