Point;Valeur
-2.3930856637125366 1.7183254460011401;7.161384293833
1.1174181415664428 1.590998288150475;5.493765821786
0.8804194903148819 1.066457492571237;3.073279182328
0.6058327778683434 0.69881848656585;1.5125726975505
0.32891103438455893 0.4543829769436982;0.5602028009004
0.1307140856688469 0.3033741843746376;0.16555781645977
0.031030606699981922 0.2133915649356246;0.05408245343111
-0.010155119495898701 0.15752608907393517;0.02342101421797
-0.02444253277843375 0.12031644791840033;0.012729708992431
-0.027225019098617312 0.09392902362527678;0.007747268565888
-0.025433231860510806 0.07431959419074002;0.004926473885999
-0.022121584063720733 0.05927626749518096;0.0031808684848149
-0.018587864531830485 0.04749949148212998;0.002064179655561
-0.015339588644001435 0.038165135033372974;0.0013416878859996
-0.012536247233592457 0.03071207189979795;0.0008725062906350
-0.010190828815980917 0.024735548518745532;0.0005674662792830
-0.008260375627480724 0.019931155795721394;0.0003690748602130
-0.0066855969290728085 0.016063519608118002;0.00024003475971693
-0.0054073247362211585 0.012947463649084107;0.00015610309841845
-0.004372619623180688 0.010435776136526596;0.00010151296494803
-0.0035363873267661933 0.008410706353242165;6.600837243289618e
-0.002861158204612543 0.006777733256916569;4.291788316392992e
-0.0023162078449012477 0.0054608276431916646;2.7901834063077423e
-0.0018765253555522079 0.004398763055330844;1.813740781073491e
-0.0015218331995138432 0.003542200963207482;1.1788495580942636e
-0.0012357287512943574 0.0028513675785255457;7.660828815728291e
-0.001004960820972485 0.0022941927970232243;4.977638145536175e
-0.0008188319090351652 0.0018448149747082013;3.2337198418304204e
-0.0006687095981897638 0.0014823776137816904;2.1005080948244565e
-0.0005476295053054361 0.0011900600469981085;1.3643269763661616e
-0.00044997369623094296 0.000954296195177833;8.862256534405728e
-0.0003712107015814344 0.0007641447144946167;5.758531991124044e
-0.00030768555177112893 0.0006107811097508653;3.744658293902208e
-0.00025645030699409033 0.00048708815628773183;2.4387448015580395e
-0.00021512731702128578 0.00038732558360680426;1.5925631690996237e
PointOptimal;ValeurOptimale
[-0.00021513  0.00038733];1.5925631690996237e-07
Temps;Nb iteration
0.0023088455200195312;34
