Point;Valeur
-2.8601957930214916 -1.589063101215924;44.40919988221
-0.4581957930225573 0.8129368984546752;0.6635311194241
-0.44380716224385586 0.35684690886282594;0.32343675484152
-0.4196357469452737 0.2515017766320278;0.27825280556051
-0.3940806382131198 0.21893676355602126;0.24755406933329
-0.368976119314453 0.20181236267666378;0.21950984063115
-0.3447756461743844 0.18825573431481563;0.19371802135883
-0.3216252202245887 0.17583564921672445;0.17019961105139
-0.2995891332917051 0.1640749237230742;0.14893481563666
-0.2786988296984305 0.15289379636765046;0.1298546119257
-0.2589650497019413 0.14228701048726433;0.11285198925925
-0.24038244366699235 0.13225760326344066;0.09779335632122
-0.2229326236368324 0.1228041575373027;0.08452869132492
-0.20658679202896782 0.11391919088531748;0.07290005146558
-0.1913081130859338 0.10558982697839756;0.06274833445583
-0.1770538202753618 0.09779886814758192;0.05391836462903
-0.16377704153899966 0.09052585314904699;0.046262486272102
-0.15142833996038782 0.08374800164137253;0.039642900467714
-0.13995698270128895 0.07744102277340673;0.0339329942854
-0.12931196133668105 0.07157978792195213;0.029017897300560
-0.11944279222878706 0.06613887660221413;0.024794472003046
-0.11030012746725741 0.06109300870342818;0.02117091027891
-0.1018362063182035 0.05641737784393303;0.018066073426977
-0.09400517501395705 0.052087900775891066;0.015408681358700
-0.08676329978710393 0.04808139697688424;0.013136429283243
-0.08006909480254124 0.04437571124927782;0.011195087746427
-0.07388338339536073 0.04094979059233117;0.009537624166233
-0.06816930797679668 0.037783725003535204;0.008123370442760
-0.06289230122986654 0.03485876032460583;0.006917251144883
-0.05802002882328382 0.03215728983995102;0.005889079511375
-0.053522311829784765 0.029662830092085066;0.005012923434686
-0.04937103532273421 0.027359985309036345;0.004266540194256
-0.04554004821026898 0.025234403935267012;0.0036308765420286
-0.042005058211655816 0.023272730007605297;0.0030896294744762
-0.03874352494815247 0.02146255150197546;0.0026288623894511
-0.035734553374709 0.01979234727802415;0.002236671123737
-0.03295878918724868 0.018251433847806815;0.0019028944514403
-0.03039831737499276 0.01682991287597213;0.0016188638876201
-0.028036564724428968 0.01551862006715547;0.001377188010264
-0.025858206801018923 0.014309075899472596;0.0011715669340563
-0.023849079720003812 0.013193438510280257;0.0009966330060068
-0.021996096855090713 0.012164458923007495;0.0008478142225313
-0.02028717051237137 0.011215438714655518;0.0007212172756599
-0.018711138507629985 0.010340190156549805;0.0006135275144753
-0.017257695521123294 0.00953299881142731;0.0005219234526227
-0.01591732905929117 0.008788588534024224;0.00044400376265173
-0.014681259823177199 0.008102088797062841;0.0003777249737054
-0.013541386265062905 0.007469004247360387;0.0003213483324507
-0.012490233105153454 0.0068851863859068045;0.0002733945005708
-0.0115209035769199 0.006346807259571312;0.00023260494832305
-0.010627035171199733 0.0058503350494988945;0.00019790906539346
-0.009802758654070327 0.005392511441240675;0.00016839615027864
-0.00904266014082007 0.004970330663597876;0.00014329156026451
-0.008341746017271874 0.004581020086422914;0.0001219364081248
-0.00769541050967016 0.0042220222718244264;0.00010377028108331
-0.007099405714876236 0.003890978378028454;8.831653430175173e
-0.006549813913394937 0.003585712820318136;7.516977688708568e
-0.006043021998528862 0.003304219098807475;6.398522465704572e
-0.005575697865547788 0.003044646708186087;5.4469641992762286e
-0.005144768615042187 0.00280528904988121;4.637363618259323e
-0.00474740043451496 0.00258457227226508;3.948510272478311e
-0.004380980031698353 0.0023810449695258755;3.362364996904485e
-0.004043097502030135 0.002193368674602309;2.8635856982801206e
-0.003731530521169129 0.0020203090861184965;2.439124026666721e
-0.0034442297613714286 0.0018607279735510093;2.077882346544768e
-0.003179305437991998 0.0017135757088997184;1.770421999679062e
-0.002935014899334073 0.001577884376926816;1.5087151953277494e
-0.0027097511795587427 0.0014527614195758635;1.2859340070402046e
-0.0025020324404096393 0.0013373837734939032;1.0962709287644268e
-0.0023104922331250144 0.001230992462665355;9.347862714649728e
-0.0021338705171251014 0.001132887611034971;7.972783864403444e
-0.0019710053768999905 0.001042423842663289;6.801733013639929e
-0.0018208253830058077 0.0009590060394302593;5.804308653909439e
-0.0016823425472275958 0.0008820854285952283;4.9546493379650345e
-0.0015546458258081457 0.0008111559746443822;4.230754918952892e
-0.0014368951281942953 0.0007457510518215505;3.6139093209483052e
-0.001328315792036109 0.0006854403755561568;3.088189650990739e
-0.001228193488208973 0.0006298271726824199;2.6400487350001796e
-0.0011358695224320148 0.0005785455718972605;2.2579600924403723e
PointOptimal;ValeurOptimale
[-0.00113587  0.00057855];2.2579600924403723e-06
Temps;Nb iteration
0.005957603454589844;78
