Point;Valeur
-2.8952898158836415 3.322033449402392;42.57488742281
-2.580488291122632 3.0072319357161006;17.253646804255
-2.396977382162313 2.706449513303973;9.277829022
-2.2870855775556187 2.432167303994699;5.938499185900
-2.2117305882262523 2.1908409278000884;4.121355290967
-2.1554931202174403 1.98334538441164;3.0006767048907
-2.111210877890622 1.8075937199623524;2.263907932697
-2.0750499230760293 1.6601657354835668;1.7608458890085
-2.0447417458098176 1.5372432996838399;1.4081681750214
-2.0188420206693922 1.435110790796373;1.1556243018419
-1.9963780773109245 1.3503929782527306;0.9713721410998
-1.976665024810254 1.28014279301709;0.8345934007560
-1.9592027697450263 1.2218488740973326;0.7313757193946
-1.943614978129921 1.1734041246787115;0.6522604699870
-1.9296111789852852 1.133058409070862;0.5907202593289
-1.916962300836465 1.099367672940329;0.5421874496135
-1.9054843437427984 1.071145540863965;0.5034222972061
-1.8950271601429027 1.0474200057483092;0.4720959308621
-1.8854665460988993 1.0273960043427124;0.446511742767
-1.8766985375867153 1.0104237642622231;0.42541719573767
-1.8686352120369567 0.9959723978371084;0.4078753674996
-1.8612015403290991 0.9836080721063474;0.3931763600170
-1.8543329866457106 0.9729760718489994;0.3807755628530
-1.8479736505585094 0.9637861225830417;0.37025017209370
-1.8420748088886831 0.9558004151384276;0.36126823362735
-1.8365937568925268 0.9488238533721322;0.3535663592594
-1.8314928767715273 0.9426961224938537;0.3469335062002
-1.826738881120423 0.9372852433399844;0.3411990373972
-1.822302192647763 0.9324823365933129;0.33622383475250
-1.8181564312548997 0.9281973705878709;0.3318936119325
-1.8142779865814043 0.9243557077756016;0.32811382849149
-1.8106456592485054 0.9208952992034166;0.3248057819440
-1.8072403578151923 0.9177644045196177;0.3219035753540
-1.8040448412875014 0.9149197380714115;0.3193517423005
-1.8010434991565585 0.9123249604445607;0.3171033703500
-1.7982221625694155 0.9099494500873487;0.3151186061913
-1.7955679414920096 0.9077673020746934;0.3133634556709
-1.7930690837007257 0.9057565111373534;0.3118088136822
-1.7907148522045164 0.9038983042432083;0.31042967469598
-1.7884954183055775 0.9021765946201306;0.3092044863568
-1.7864017679926776 0.9005775344614982;0.30811461721628
-1.7844256197471835 0.8990891478817585;0.3071439161398
-1.782559352157517 0.8977010291844041;0.30627834581635
-1.7807959399957272 0.8964040943397046;0.30550567651815
-1.7791288976169415 0.8951903758618386;0.3048152291223
-1.7775522287178456 0.8940528531171561;0.30419765861340
-1.7760603816340264 0.8929853116050877;0.3036447710128
-1.7746482094728775 0.8919822259607659;0.3031493680359
-1.7733109344829658 0.8910386624060098;0.3027051148424
-1.7720441161414202 0.8901501971833086;0.30230642710079
-1.770843622514346 0.8893128481342477;0.30194837426402
-1.7697056045023165 0.8885230171227633;0.3016265964992
-1.768626472638324 0.8877774414149717;0.30133723315874
-1.7676028761454519 0.8870731524779506;0.3010768610343
-1.766631684001451 0.886407440937507;0.3008424409321
-1.7657099677868293 0.8857778266613482;0.30063127134160
-1.7648349861240495 0.8851820331179548;0.3004409481714
-1.7640041705359308 0.8846179653157533;0.30026932968693
-1.763215112573822 0.8840836907473292;0.3001145059161
-1.7624655520828945 0.8835774228604282;0.29997477190748
-1.7617533664885945 0.8830975066671578;0.2998486043107
-1.7610765610011943 0.8826424061642087;0.2997346408354
-1.760433259645769 0.8822106932906485;0.29963166220281
-1.759821697037853 0.8818010382021254;0.299538576264
-1.7592402108321972 0.8814122006684681;0.2994544040070
-1.7586872347796887 0.8810430224389306;0.2993782672016
-1.758161292337093 0.880692420442476;0.29930937748966
-1.7576609907756988 0.8803593807100697;0.2992470267258
-1.7571850157454194 0.8800429529237526;0.299190578422
-1.7567321262528421 0.879742245515065;0.2991394601631
-1.756301150015157 0.879456421241845;0.2990931568607
-1.7558909791585895 0.879184693184327;0.29905120477141
-1.7555005662306562 0.8789263211161529;0.2990131861632
-1.7551289204996243 0.8786806082000096;0.298978724568
-1.754775104516896 0.8784468979752995;0.298947480551
-1.7544382309207098 0.8782245716065797;0.29891914793119
-1.7541174594616025 0.8780130453611773;0.29889345040687
-1.7538119942303445 0.8778117682955097;0.2988701385434
-1.7535210810745872 0.8776202201265256;0.29884898707327
-1.7532440051868297 0.8774379092718017;0.29882979248041
-1.7529800888517302 0.8772643710399376;0.29881237083707
-1.7527286893405805 0.87709916595779;0.29879655586323
-1.7524891969418734 0.8769418782230852;0.29878219718610
-1.7522610331164952 0.87679211426806;0.2987691587774
-1.7520436487698139 0.8766495014279007;0.29875731754990
-1.7518365226317036 0.8765136867015193;0.29874656209549
-1.7516391597361458 0.8763843355994403;0.29873679155095
-1.7514510899946096 0.8762611310687827;0.2987279145769
-1.751271866854429 0.8761437724925584;0.29871984843903
-1.7511010660390696 0.8760319747537184;0.2987125181799
-1.7509382843622874 0.8759254673613875;0.29870585587374
-1.7507831386123531 0.8758239936318354;0.29869979995345
-1.7506352645013457 0.8757273099244045;0.2986942946046
-1.7504943156751582 0.8756351849228292;0.2986892892181
-1.750359962780465 0.8755473989623896;0.2986847378966
-1.7502318925841038 0.8754637433992299;0.29868059900827
-1.7501098071430545 0.8753840200159441;0.29867683478402
-1.749993423020625 0.8753080404649871;0.2986734109540
-1.749882470545463 0.8752356257434593;0.29867029641830
-1.7497766931125154 0.8751666057001524;0.2986674629496
-1.7496758465215505 0.8751008185711884;0.2986648849245
-1.7495796983519203 0.875038110541245;0.29866253907959
PointOptimal;ValeurOptimale
[-1.7495797   0.87503811];0.29866253907959617
Temps;Nb iteration
0.004953145980834961;101
