Point;Valeur
-3.2486716544743057 -4.9974168682041675;141.2857583257
-2.069573012270082 -4.931199841250615;36.921827199
-1.9998514549837534 -4.87154047777703;35.33998028831
-1.9435270971297438 -4.8128263157245765;34.07277397273
-1.8961152438994713 -4.754980917081779;32.989484982387
-1.855036709326269 -4.697951031691288;32.02573823004
-1.8186713446511629 -4.641696837828162;31.14600118952
-1.785935329082461 -4.586187012726866;30.328963760412
-1.7560683479023123 -4.531395965954514;29.5610019237
-1.7285167317603491 -4.477302164555601;28.832947397630
-1.7028648976922636 -4.4238870592512125;28.138363174999
-1.6787929644945745 -4.371134364170386;27.472564574697
-1.6560494091485136 -4.319029555706448;26.832034815661
-1.6344327910457093 -4.267559513103718;26.214061122775
-1.6137791659612102 -4.216712254017656;25.616499894723
-1.593953193337411 -4.1664767356478105;25.03762041372
-1.5748417119367755 -4.116842702324801;24.475997992894
-1.5563490076245525 -4.067800566742035;23.930439171826
-1.538393267357824 -4.019341316036522;23.39992823433
-1.5209038813705558 -3.97145643653956;22.88358824314
-1.5038193627248955 -3.924137852767222;22.38065216494
-1.4870857234812132 -3.8773778774258627;21.890441141097
-1.4706551935506464 -3.831169170034192;21.412347905075
-1.4544852001891098 -3.7855047023660315;20.94582396489
-1.4385375482015075 -3.740377729341331;20.490369579372
-1.4227777564998103 -3.6957817643067425;20.045525835331
-1.407174517793747 -3.651710557880987;19.610868324336
-1.3916992562596544 -3.6081580797130908;19.18600205190
-1.376325763947234 -3.565118502634439;18.77055730700
-1.3610299010779539 -3.5225861887882726;18.36418628817
-1.3457893486697738 -3.480555677394852;17.966560332212
-1.3305834044175793 -3.4390216738774892;17.57736762824
-1.3153928146510676 -3.3979790401165655;17.19631132680
-1.300199636649685 -3.3574227856421768;16.823107974413
-1.2849871267223758 -3.317348059602514;16.457486219359
-1.269739650330143 -3.277750143372975;16.099185746199
-1.2544426112108322 -3.2386244436875256;15.747956405644
-1.2390823969937461 -3.199966486194521;15.403557513343
-1.2236463391996413 -3.1617719093475483;15.065757296424
-1.2081226858407792 -3.124036458557926;14.734332470778
-1.1925005850716044 -3.086755980542959;14.409067935088
-1.1767700785217219 -3.0499264178120367;14.089756569902
-1.160922103070389 -3.0135438032411965;13.776199131619
-1.1449484999093098 -2.977604254693338;13.468204232335
-1.1288420297957682 -2.9421039696466966;13.165588397003
-1.11259639342442 -2.9070392198011152;12.868176189564
-1.096206255852822 -2.872406345635996;12.575800399501
-1.0796672739057325 -2.83820175090022;12.288302279787
-1.0629761254634165 -2.804421897021685;12.005531826532
-1.0461305395098766 -2.77106329742403;11.727348089686
-1.0291293257927716 -2.7381225117521435;11.453619503272
-1.0119724029192536 -2.705596140005655;11.184224222515
-0.9946608236972079 -2.673480816590894;10.919050454309
-0.9771967965318265 -2.6417732043064124;10.657996766621
