Point;Valeur
0.03162150688540333 -2.201276574342812;4.778009664128
0.023886230831282926 -2.2067157427010007;4.818025009746
0.018408953433175685 -2.207662121605806;4.833808952531
0.015169597027769545 -2.204193704021638;4.825493332336
0.014135118516037 -2.1963980685605455;4.793517689804
0.015259964678135911 -2.184371989154593;4.7386132237126
0.018486585964955123 -2.168221021243711;4.661782777755
0.023746002873624612 -2.1480590662666037;4.5642773468947
0.0309584225012423 -2.1240079163044014;4.447569577543
0.04003390557810775 -2.0961967807813644;4.313324730515
0.050873086027018954 -2.064761797177271;4.163369586186
0.06336794577590603 -2.0298455277533094;3.999659798675
0.07740264714666824 -1.991596444338666;3.824246246853
0.0928544237136191 -1.950168403267375;3.6392409778874
0.10959452820841335 -1.9057201125936196;3.4467833845895
0.12748923305187204 -1.8584145937456855;3.2490072904878
0.1464008756808285 -1.808418639801422;3.0480096262218
0.16618893731192583 -1.7559022725781803;2.845821359292
0.18671114046103254 -1.7010382007243383;2.644381281461
0.2078245477216173 -1.644001280974732;2.445513163544
0.2293866422644828 -1.5849679846861378;2.2509066599506
0.251256369457204 -1.5241158716999244;2.062102193392
0.27329511903516407 -1.4616230734865086;1.8804798853758
0.2953676284144912 -1.3976677874112071;1.7072524336817
0.3173427899541687 -1.332427783824928;1.5434616876090
0.33909434809859135 -1.2660799275290917;1.3899785467288
0.3605014761446483 -1.1987997149959164;1.2475057179152
0.38144922661723013 -1.1307608285470245;1.1165828128019
0.4018288536257836 -1.0621347085101853;0.9975932538099
0.421538009844125 -0.99309014419065;0.8907724778479
0.4404808246703834 -0.9237928843146488;0.7962169761490
0.4585678734979367 -0.8544052674323331;0.713893778136
0.4757160507348045 -0.7850858726094172;0.6436500678771
0.49184836118393166 -0.7159891905936524;0.5852227052511
0.5068936456342674 -0.6472653155161847;0.5382475035491
0.5207862570568376 -0.5790596570797918;0.5022681856490
0.5334657037335926 -0.5115126730965879;0.4767449991716
0.5448762750776842 -0.44475962216660553;0.4610630157712
0.5549666649522571 -0.3789303362350378;0.45454017128091
0.5636896060819546 -0.31414901272865214;0.4564351232045
0.5710015277897749 -0.2505340259495116;0.46595501208927
0.5768622478782537 -0.18819775739506542;0.4822632159718
0.5812347080844267 -0.12724644467624163;0.5044871846117
0.584084761225228 -0.06778004871780849;0.5317264345451
0.5853810169425302 -0.00989213894637471;0.5630607785211
0.5850947518592635 0.04633020380035189;0.5975588544389
0.583199888952079 0.10080646687543074;0.6342870096512
0.57967304999321 0.15346276812937976;0.6723185859565
0.5744936839587865 0.2042319010732505;0.7107436377049
0.5676442732726383 0.253053363005083;0.7486790986029
0.5591106185740321 0.29987336616092825;0.7852793900805
0.5488822012809582 0.34464483190591605;0.8197474333661
0.5369526214858861 0.38732736793665634;0.8513459866805
0.5233201065978454 0.42788722842545385;0.879409176690
