Point;Valeur
0.16635345301666682 -3.315374844265274;10.494732667348
1.7870207538529617 -1.6947075434289791;0.9502903077452
3.493582452591383 0.190504334067918;171.7213124883
1.8851972429649655 0.9233327003519116;3.920431598251
0.3377049143391764 0.842889766837265;1.2097911263431
-1.1424156801580683 0.3951624956428389;0.8969578585975
-2.549879762102224 0.034868250628015574;14.338524555945
-3.656739200926271 0.1457088505585864;236.9738874957
-3.0182082621056785 0.8054872812267423;55.295442649421
-2.0363050514089887 1.658364265465189;1.495288629163
-1.086850281485678 2.252511838691433;3.7977557523654
-0.18921174269661623 2.256974122588796;4.737150194576
0.659853927441073 1.6417154548354391;4.46403540530
1.458240947966834 0.5561236419545401;2.227813196107
2.217197925719704 -0.7928500953407629;3.1280460134147
2.8955093711811064 -2.1568133671931844;39.58883841420
3.2351518579531406 -3.2583131611895384;97.06998606048
2.985311137340645 -3.853183976853619;55.745776183665
2.4265312921976516 -3.8207154457753814;14.722584712878
1.8226714070345091 -3.2113020123519687;5.626005428959
1.251737409011155 -2.1704614803229756;3.1910932897985
0.714773982381051 -0.8791309772891065;0.9144492789744
0.20285595793011202 0.4539730015932759;0.3787172721900
-0.28672104544991 1.6025836902790815;2.266194299635
-0.7534056209657007 2.3779092069964713;4.690340456293
-1.199225325123847 2.696251067749255;5.236716325627
-1.6294882164711582 2.5870314124672964;3.50489983292
-2.0451901395485717 2.152439465874644;2.422762783046
-2.425864886219492 1.532276771266892;8.004061664632
-2.7082681002385085 0.8837049568723172;22.334676594734
-2.7990214604924373 0.3557263461379616;30.497977809391
-2.6656521929609083 0.05049732736500395;20.85945764599
-2.3814951794617283 -0.0017931561676097774;7.978013372847
-2.040939419833862 0.1654270155973068;1.8478546970843
-1.69873134828044 0.4782195881899082;0.44909628685407
-1.373775705388725 0.8423349730350761;0.7073559330857
-1.0681504520013327 1.1602526736788026;1.2694472503684
-0.77914505518297 1.3486911588879071;1.6326060520779
-0.50428723395711 1.3546007063199212;1.5952825938723
-0.24266406878756097 1.1636247427617612;1.1858174389164
0.005393180410836862 0.7985824761480316;0.642099042479
0.2391838633481054 0.31141744149973627;0.2824793931388
0.4584678134612463 -0.22719607671494124;0.3229991588743
0.6639363034114814 -0.7395036437184059;0.7477507379557
0.8572549976544535 -1.1540338080341401;1.311351345700
1.0407772627605802 -1.4191101704187492;1.6831368998835
1.2170750386179314 -1.5123244143059387;1.646874727756
1.388385601599522 -1.442745883282768;1.2259132953702
1.5559882035403325 -1.246526959584548;0.6669406726334
1.7194703016832042 -0.978769967087524;0.31717519343667
1.875878891010535 -0.7035884772936425;0.4734393051507
2.0189449442328695 -0.4829162727440406;1.2522961350785
2.1389508516071714 -0.36506441058014216;2.4851790097824
2.2241735480010147 -0.37555926149435703;3.6809171683216
2.2644683637876684 -0.5129336911746737;4.220217007029
2.2557991449620958 -0.7501894002211773;3.8198661218622
2.202658411260822 -1.0407359853329794;2.81223955045
2.1163366766386544 -1.3273631844740015;1.821785766037
2.0105060767198215 -1.5531865380628864;1.225478643106
1.8972496458857424 -1.6729238976971061;0.9923119639866
1.7851804938669091 -1.661733648629363;0.899039764767
1.679353483395271 -1.5191275075682167;0.7842166956532
1.5820233496455811 -1.267565742877935;0.6427228111631
1.4935589173242596 -0.9472122326589387;0.569068767294
1.4132174104820878 -0.6084875617523438;0.644228139580
1.3397174091825357 -0.3033694699580936;0.8564248246839
1.2716349700441405 -0.07634223851563199;1.101979008481
1.207660252973312 0.043376983346694944;1.25477508993
