Point;Valeur
0.6322152926452604 4.935593309456333;28.122728731621
-2.3731471407024514 1.9302308726156605;6.876598688055
0.5516311962804501 1.4960997361337605;3.579673325317
0.20952223528894132 0.49117672515360233;0.42995672461631
0.06034142210851054 0.14506140416199764;0.0370642844951
0.014408608232930914 0.040188899092657784;0.002609384440398
0.0023764051157273407 0.010928338417805328;0.00015669330895807
-0.00023490386209134217 0.0031929965389833007;9.555539324961675e
-0.0005549754828338906 0.00114446252782076;1.290641307110919e
-0.0004372384307644127 0.0005249072648421584;4.2837286020604756e
-0.0002952633642702826 0.0002767487972319153;1.692370164208203e
-0.00019460306063017287 0.00014814016580145896;6.885767996384838e
-0.00013120936788105805 7.350127453976078e-05;3.019017771644231e
PointOptimal;ValeurOptimale
[-1.31209368e-04  7.35012745e-05];3.019017771644231e-08
Temps;Nb iteration
0.00058746337890625;12
