Point;Valeur
0.7434631787268824 -2.791709985340902;6.530936657288
2.094028214640308 -1.4411449296148844;1.691981823036
0.7565528014312621 -1.205688410582383;1.3735239801310
0.7145477977866833 -0.7063276988797462;0.7638098693929
0.5679714022066742 -0.48053597207384435;0.4994937053608
0.3568225032407867 -0.34303890478449584;0.23323877390145
0.16770652139014391 -0.21837011280923768;0.06648748228359
0.06898756090750444 -0.10799737521243771;0.013707759320300
0.02766491780156087 -0.042524182399849106;0.002161958461837
0.009281926388890194 -0.014773559657515586;0.00025343149312957
0.0026779020256198667 -0.0041530010179826795;2.046835213780605e
0.0005260421062780662 -0.0009875580241223546;1.0092142626794232e
7.028433135682381e-05 -0.0001476937773137564;2.131266791607346e
-5.520713538337526e-05 -6.30184942944684e-05;1.3546056754036059e
-2.0899212912637693e-05 -3.2331223102506805e-06;9.5157699194278e
PointOptimal;ValeurOptimale
[-2.08992129e-05 -3.23312231e-06];9.5157699194278e-10
Temps;Nb iteration
0.0011420249938964844;14
