Point;Valeur
4.277110582478752 3.98642890835864;738.4936582982
2.029283161117899 3.9619287715597338;25.805705197404
2.006491989465882 3.9420222901512645;25.358104348239
1.985363612397773 3.9222410170117215;24.947585071246
1.9656762380318575 3.9025811257188323;24.567411113768
1.9472483815814705 3.8830392487397845;24.212428987907
1.9299297691763222 3.8636123949816223;23.878631822092
1.9135946560622124 3.8442978858633623;23.562859053622
1.8981368310883333 3.8250933050077194;23.262585245765
1.883465822937989 3.8059964581254278;22.975768759702
1.8695039783043903 3.7870053406470348;22.700741470693
1.8561841829916652 3.7681181113278015;22.436127161676
1.8434480640120903 3.749333070516464;22.180780295922
1.8312445563041528 3.73064864210631;21.93373949621
1.8195287491929228 3.7120633584252047;21.694191787216
1.8082609498439233 3.693575847493072;21.46144481702
1.7974059167449745 3.6751848222033843;21.234905064844
1.7869322276598858 3.6568890710809896;21.014060588587
1.7768117548559097 3.638687450341301;20.798467251136
1.767019226592577 3.620578877030219;20.587737636979
1.7575318584938309 3.6025623230688595;20.381532068139
1.7483290419299173 3.584636810059486;20.179551271583
1.7393920792079136 3.5668014047353367;19.981530355877
1.7307039574317677 3.5490552149579955;19.787233833251
1.72224915448896 3.5313973861832224;19.596451482139
1.714013471874079 3.5138270983294504;19.40899488971
1.7059838900416473 3.4963435629923865;19.22469454792
1.6981484427655396 3.478946020960315;19.043397402672
1.6904961076041296 3.461633739990951;18.86496477591
1.6830167100722342 3.4444060128156693;18.68927059633
1.6757008395262822 3.427262155344245;18.516199886483
1.6685397750969138 3.4102015050438226;18.345647464130
1.6615254202728629 3.393223419473422;18.17751682336
1.6546502449603189 3.3763272749550097;18.011719167048
1.647907234021087 3.3595124653652206;17.848172567267
1.6412898414476977 3.342778401035652;17.686801234562
1.6347919494541934 3.326124507748652;17.52753487973
1.6284078318681132 3.3095502258187324;17.37030815488
1.6221321212968114 3.2930550092516384;17.215060162405
1.6159597796131457 3.276638324971991;17.061734022525
1.6098860713692424 3.2602996521128134;16.910276491292
1.6039065397992651 3.2440384813615495;16.760637622377
1.5980169851164554 3.227854314356456;16.612770466838
1.5922134448481522 3.211746663128757;16.466630805986
1.586492175985466 3.1957150495865037;16.32217691315
1.5808496387512854 3.1797590050360967;16.179369340764
1.57528248181573 3.1638780697384092;16.038170729587
1.569787528807563 3.14807179249582;15.898545637555
1.5643617659888314 3.132339730268235;15.76046038578
1.5590023309751793 3.116681447815189;15.623882919817
1.5537065023984091 3.101096517361924;15.488782684368
1.5484716904188538 3.085584518287604;15.355130510000
1.543295428005667 3.070145036833601;15.222898510468
1.538175362912451 3.0547776658302226;15.092059989521
1.5331092502833137 3.039482004441055;14.962589356186
1.5280949458311248 3.024257657922732;14.834462047606
1.5231303995364236 3.00910423739937;14.707654458667
1.5182136498199732 2.9940213596506524;14.582143877704
1.513342818147823 2.979008646912412;14.457908427687
1.5085161040306865 2.9640657266884816;14.334927012325
1.5037317803844878 2.9491922315736616;14.213179266619
1.4989881892210626 2.9343877990866005;14.092645511431
1.494283737641691 2.91965207151177;13.973306711671
1.4896168941085257 2.904984695750393;13.855144437794
1.4849861849715644 2.890385323179153;13.738140830266
1.4803901912303168 2.8758536095164686;13.622278566745
1.4758275455117946 2.8613892146959117;13.507540831736
1.4712969292481297 2.8469918027460537;13.393911288487
1.4667970700383997 2.8326610416765305;13.281374052935
1.4623267391799892 2.8183966033697203;13.169913669532
1.4578847493579765 2.804198163477892;13.059515088771
1.4534699524796828 2.7900654013252577;12.950163646293
1.4490812376443678 2.7759979998149973;12.84184504342
1.4447175292383356 2.7619956453404413;12.734545329018
1.4403777851459658 2.7480580277005515;12.628250882557
1.4360609950692087 2.7341848400194166;12.52294839829
1.4317661789472673 2.7203757786691583;12.418624870507
1.4274923854701775 2.7066305431965674;12.315267579598
1.4232386906796428 2.6929488362528318;12.212864079169
1.419004196650942 2.6793303635264607;12.111402183831
1.4147880302514686 2.6657748336790164;12.010869957792
1.4105893419697217 2.6522819582837585;11.911255704118
1.4064073048110508 2.6388514517666692;11.812547954647
1.4022411132556094 2.625483031350001;11.71473546048
1.3980899822743247 2.6121764169980253;11.617807183065
1.3939531463999337 2.5989313313654137;11.521752285691
1.389829858849108 2.5857474997471073;11.426560125595
1.3857193906926106 2.5726246500303915;11.332220246405
1.38162103007107 2.559562512648853;11.238722371040
1.377534081453316 2.5465608205381116;11.14605639498
1.3734578649346822 2.5336193090930124;11.054212379939
1.3693917155734674 2.5207377161267672;10.963180547760
1.3653349827628496 2.507915781831059;10.872951274777
1.3612870296367312 2.49515324873817;10.783515086355
1.3572472325073797 2.482449861683925;10.694862651753
1.35321498033316 2.4698053677721674;10.606984779234
1.3491896742149372 2.457219516340402;10.519872411424
1.3451707269195516 2.4446920589265773;10.433516620889
1.3411575624288368 2.432222749237006;10.34790860593
1.3371496155130451 2.4198113431151356;10.263039686611
1.3331463313275442 2.407457598511634;10.178901300886
1.3291471650313618 2.3951612754548677;10.095485001028
1.3251515814270114 2.3829221360229766;10.012782450139
1.3211590546197876 2.3707399443160213;9.930785418849
1.3171690676966712 2.3586144664295148;9.849485782172
1.3131811124230701 2.3465454704283815;9.768875516491
1.3091946889572519 2.3345327263218394;9.688946696699
1.305209305581048 2.3225760060386023;9.60969149344
1.3012244784469367 2.310675083403254;9.531102170538
1.2972397313400812 2.2988297341126938;9.453171082413
1.2932545954551493 2.2870397357135417;9.375890671776
1.2892686091872356 2.275304867579756;9.29925346730
1.2852813179362848 2.263624910891032;9.223252081483
1.281292273924695 2.2519996486115943;9.147879208494
1.277301036027179 2.2404288654692692;9.073127622258
1.2733071696131297 2.228912347935342;8.998990174526
1.2693102464003552 2.217449884204342;8.925459793062
1.2653098443202886 2.2060412641746794;8.852529479924
1.2613055473940697 2.1946862794293196;8.78019230980
1.2572969456192133 2.183384723216811;8.708441428486
